 Units: T (K), Cp (kJ/kmole/K), H and H0 (MJ/kmole)

        S  (kJ/kmole/K), -(G-H0)/T (kJ/kmole/K)




 H         T           Cp        H        S         G    -(G-H0)/T
------------------------------------------------------------------
         298.000    33.446  -241.848   188.696  -298.079   188.696
         400.000    34.437  -238.384   198.685  -317.858   190.026
         500.000    35.337  -234.896   206.466  -338.129   192.562
         600.000    36.288  -231.315   212.991  -359.110   195.437
         700.000    37.364  -227.634   218.664  -380.698   198.358
         800.000    38.587  -223.838   223.731  -402.822   201.218
         900.000    39.930  -219.912   228.353  -425.430   203.980
        1000.000    41.315  -215.850   232.632  -448.482   206.634
        1100.000    42.638  -211.652   236.632  -471.947   209.181
        1200.000    43.873  -207.325   240.396  -495.800   211.627
        1300.000    45.026  -202.880   243.953  -520.019   213.978
        1400.000    46.102  -198.323   247.330  -544.585   216.241
        1500.000    47.103  -193.662   250.545  -569.480   218.421
        1600.000    48.034  -188.905   253.615  -594.689   220.526
        1700.000    48.900  -184.057   256.554  -620.198   222.559
        1800.000    49.705  -179.126   259.372  -645.996   224.527
        1900.000    50.451  -174.118   262.079  -672.069   226.432
        2000.000    51.143  -169.038   264.685  -698.408   228.280
        2100.000    51.784  -163.891   267.196  -725.003   230.074
        2200.000    52.377  -158.683   269.619  -751.844   231.817
        2300.000    52.927  -153.417   271.959  -778.924   233.511
        2400.000    53.435  -148.099   274.223  -806.234   235.161
        2500.000    53.905  -142.732   276.414  -833.766   236.767
        2600.000    54.340  -137.319   278.537  -861.514   238.333
        2700.000    54.742  -131.865   280.595  -889.471   239.861
        2800.000    55.114  -126.372   282.593  -917.631   241.351
        2900.000    55.459  -120.843   284.533  -945.988   242.807
        3000.000    55.779  -115.281   286.418  -974.536   244.229
        3100.000    56.076  -109.688   288.252 -1003.270   245.620
        3200.000    56.352  -104.066   290.037 -1032.185   246.980
        3300.000    56.610   -98.418   291.775 -1061.276   248.312
        3400.000    56.850   -92.745   293.469 -1090.538   249.615
