%t	pwall	u1	v1	p1
0	100593.138101562	88.7454614673836	-16.9437214434794	102435.850224123
2e-05	100554.03921875	90.3228253666152	-18.6404554023692	102376.452175718
4e-05	100469.155085938	91.6908937282152	-20.1389159852013	102260.393811729
6e-05	100361.527953125	92.8506878816458	-21.4373130414713	102104.578773192
8e-05	100253.274265625	93.7321991313172	-22.503048708141	101930.007219347
0.0001	100147.7699375	94.2538575496653	-23.2972170420905	101750.119196334
0.00012	100041.779328125	94.3550035545212	-23.8013570973832	101561.284396802
0.00014	99949.9563359375	93.9045207513097	-24.0051608412665	101368.284690034
0.00016	99825.982671875	92.7061021093821	-23.8875976611388	101156.152156256
0.00018	99696.9591640625	90.4883347395103	-23.4086418514795	100922.134848702
0.0002	99588.4623359375	87.0022446108105	-22.4490780050858	100665.730117172
0.00022	99507.655484375	82.138077773343	-20.8105111620314	100392.041170806
0.00024	99502.007140625	75.9423182269531	-18.2958517824827	100090.8205972
0.00026	99516.1934609375	68.7485050680092	-14.7174275123891	99739.074319019
0.00028	99570.423171875	60.9275884226885	-9.98898627817399	99309.1107978769
0.0003	99669.961203125	52.8205824804244	-4.08317102421479	98824.0905210572
0.00032	99807.129921875	44.7453657672863	2.88819364164868	98309.8658225023
0.00034	99980.115125	37.0096653764696	10.6695726630835	97818.5846185663
0.00036	100159.842804688	29.8151604836598	18.892225698838	97412.3785174921
0.00038	100326.188398437	23.2517371385367	27.1108493409406	97133.7856427947
0.0004	100464.142648438	17.3678361673738	34.9121994842685	97018.6600751041
0.00042	100538.824226563	12.3534783846091	41.9285179019852	97077.0531106281
0.00044	100549.9619375	8.80363067863749	47.8133641384756	97298.8949240171
0.00046	100521.514484375	7.73851571507467	52.2301086612707	97662.3652952695
0.00048	100491.12190625	9.98232214193706	54.8905041954101	98121.9548604847
0.0005	100467.901976563	15.3820246195613	55.6876990991035	98625.732528484
0.00052	100440.109132813	22.8605032640279	54.7381288936581	99125.2022888127
0.00054	100397.961640625	31.1263999051424	52.3081785051488	99589.4152326965
0.00056	100345.602242188	39.1932476402359	48.7323213140219	100011.776327626
0.00058	100283.21796875	46.5167870264266	44.3088082564741	100399.583902397
0.0006	100216.541328125	52.8944149666479	39.2615954359549	100759.177653805
0.00062	100154.61528125	58.3241853625825	33.7605194716629	101096.171460556
0.00064	100094.129375	62.9223652668409	27.9505057606191	101406.494830549
0.00066	100037.692695313	66.8465885539086	21.9560037944767	101677.661097404
0.00068	99975.51415625	70.2427622476729	15.9077053466682	101893.62341445
0.0007	99926.8953828125	73.2222120230069	9.95777116735746	102045.145455613
0.00072	99883.41996875	75.9145938664691	4.21815525225056	102138.502719048
0.00074	99855.4868515625	78.3697019041516	-1.19276030912031	102185.869408456
0.00076	99866.8957578125	80.621553479321	-6.15716911882044	102200.723657644
0.00078	99907.0326640625	82.7374115677567	-10.591271995939	102186.359394937
0.0008	99952.4812578125	84.7536608380639	-14.4574547245061	102136.346340924
0.00082	99980.4798359375	86.6585961996968	-17.7305555115433	102037.422553166
0.00084	99975.4486953125	88.4489380007413	-20.3893058316502	101880.447562019
0.00086	99951.79859375	90.1632774234509	-22.4209850020645	101673.720975556
0.00088	99905.6299296875	91.8509043479803	-23.8589097198638	101436.472700579
0.0009	99853.6352421875	93.5524531392684	-24.8226182246997	101188.932746855
0.00092	99816.631109375	95.1390190871479	-25.4443424304893	100958.599576685
0.00094	99781.5346953125	96.2578598956783	-25.7951483029387	100768.121968134
0.00096	99720.4876953125	96.4944304149265	-25.8719533525669	100618.03058972
0.00098	99638.4464375	95.5293204156991	-25.5477191700967	100487.000460939
0.001	99546.445765625	93.253199188282	-24.6565989108325	100364.793129764
0.00102	99456.072265625	89.7732965658351	-23.0602680887832	100239.72301496
0.00104	99374.39571875	85.3362781764605	-20.7088764511664	100098.11279323
0.00106	99301.2758515625	80.2216306338185	-17.6166946923984	99924.5907043818
0.00108	99260.1476796875	74.64771531271	-13.8335697726883	99725.8312215146
0.0011	99176.44184375	68.8714239830754	-9.41766321347424	99477.2752423936
0.00112	99096.822640625	63.0633536760921	-4.45654703865245	99179.6837074742
